"All bacteria dataset","bacteria","http://busco.ezlab.org/v2/datasets/bacteria_odb9.tar.gz"
"phylum Proteobacteria all","proteobacteria","http://busco.ezlab.org/v2/datasets/proteobacteria_odb9.tar.gz"
"phylum Proteobacteria: Alphaproteobacteria :: Order Rhizobiales","rhizobiales","http://busco.ezlab.org/v2/datasets/rhizobiales_odb9.tar.gz"
"phylum Proteobacteria: Betaproteobacteria","betaproteobacteria","http://busco.ezlab.org/v2/datasets/betaproteobacteria_odb9.tar.gz"
"phylum Proteobacteria: Gammaproteobacteria all","gammaproteobacteria","http://busco.ezlab.org/v2/datasets/gammaproteobacteria_odb9.tar.gz"
"phylum Proteobacteria: Gammaproteobacteria :: Order Enterobacteriales","enterobacteriales","http://busco.ezlab.org/v2/datasets/enterobacteriales_odb9.tar.gz"
"phylum Proteobacteria: Delta and Epsilon proteobacteria","deltaepsilonsub","http://busco.ezlab.org/v2/datasets/deltaepsilonsub_odb9.tar.gz"
"phylum Actinobacteria","actinobacteria","http://busco.ezlab.org/v2/datasets/actinobacteria_odb9.tar.gz"
"phylum Cyanobacteria","cyanobacteria","http://busco.ezlab.org/v2/datasets/cyanobacteria_odb9.tar.gz"
"phylum Firmcutes all","firmicutes","http://busco.ezlab.org/v2/datasets/firmicutes_odb9.tar.gz"
"phylum Firmcutes: Clostridia","clostridia","http://busco.ezlab.org/v2/datasets/clostridia_odb9.tar.gz"
"phylum Firmcutes: Bacilli :: order Lactobacillales","lactobacillales","http://busco.ezlab.org/v2/datasets/lactobacillales_odb9.tar.gz"
"phylum Firmcutes: Bacilli :: order Bacillales","bacillales","http://busco.ezlab.org/v2/datasets/bacillales_odb9.tar.gz"
"phylum Bacteroidetes","bacteroidetes","http://busco.ezlab.org/v2/datasets/bacteroidetes_odb9.tar.gz"
"phylum Spirochaetes","spirochaetes","http://busco.ezlab.org/v2/datasets/spirochaetes_odb9.tar.gz"
"phylum Tenericutes","tenericutes","http://busco.ezlab.org/v2/datasets/tenericutes_odb9.tar.gz"
