genus,species,name,NCBI_assembly_ID
Staphylococcus,aureus,RF122,GCA_000009005.1
Staphylococcus,aureus,COL,GCA_000012045.1
Staphylococcus,aureus,JH1,GCA_000017125.1
Staphylococcus,aureus,JH9,GCA_000016805.1
Staphylococcus,aureus,MRSA252,GCA_000011505.1
Staphylococcus,aureus,MSSA476,GCA_000011525.1
Staphylococcus,aureus,MW2,GCA_000011265.1
Staphylococcus,aureus,Mu3,GCA_000010445.1
Staphylococcus,aureus,Mu50,GCA_000009665.1
Staphylococcus,aureus,N315,GCA_000009645.1
Staphylococcus,aureus,NCTC_8325,GCA_000013425.1
Staphylococcus,aureus,USA300_FPR3757,GCA_000013465.1
Staphylococcus,aureus,USA300_TCH1516,GCA_000017085.1
Staphylococcus,aureus,Newman,GCA_000010465.1
Staphylococcus,epidermidis,ATCC_12228,GCA_000007645.1
Staphylococcus,epidermidis,RP62A,GCA_000011925.1
Staphylococcus,haemolyticus,JCSC1435,GCA_000009865.1
Staphylococcus,saprophyticus,ATCC_15305,GCA_000010125.1
Staphylococcus,aureus,ED133,GCA_000210315.1
